Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,39400.0,39400.0,38550.0,38750.0,34113.54296875,7847664
2019-01-03,38300.0,38550.0,37450.0,37600.0,33101.140625,12471493
2019-01-04,37450.0,37600.0,36850.0,37450.0,32969.08203125,14108958
2019-01-07,38000.0,38900.0,37800.0,38750.0,34113.54296875,12748997
2019-01-08,38000.0,39200.0,37950.0,38100.0,33541.3125,12756554
2019-01-09,38650.0,39600.0,38300.0,39600.0,34861.8359375,17452708
2019-01-10,40000.0,40150.0,39600.0,39800.0,35037.90625,14731699
2019-01-11,40350.0,40550.0,39950.0,40500.0,35654.15234375,11661063
2019-01-14,40450.0,40700.0,39850.0,40050.0,35257.98828125,11984996
2019-01-15,40050.0,41100.0,39850.0,41100.0,36182.359375,11492756
2019-01-16,41150.0,41450.0,40700.0,41450.0,36490.48046875,8491595
2019-01-17,41700.0,42100.0,41450.0,41950.0,36930.6484375,11736903
2019-01-18,42000.0,42400.0,41950.0,42300.0,37238.7734375,11029256
2019-01-21,42700.0,42750.0,41900.0,42750.0,37634.9375,11355701
2019-01-22,42750.0,42850.0,41850.0,42150.0,37106.72265625,9964356
2019-01-23,41350.0,42250.0,41350.0,42000.0,36974.66796875,11071079
2019-01-24,43050.0,43100.0,42350.0,43050.0,37899.03125,14747623
2019-01-25,44300.0,44750.0,43750.0,44750.0,39395.6328125,22789395
2019-01-28,45000.0,45500.0,44600.0,45050.0,39659.75,17998914
2019-01-29,45050.0,45500.0,44350.0,45500.0,40055.90234375,16215017
2019-01-30,44800.0,46400.0,44800.0,46400.0,40848.2109375,17505980
2019-01-31,46650.0,47050.0,46150.0,46150.0,40628.12109375,21621145
2019-02-01,46650.0,46950.0,46250.0,46350.0,40804.19140625,13832454
2019-02-07,46800.0,47100.0,46200.0,46200.0,40672.1328125,15872001
2019-02-08,45700.0,45700.0,44650.0,44800.0,39439.66015625,12689196
2019-02-11,44500.0,45000.0,44250.0,45000.0,39615.71875,11125044
2019-02-12,44650.0,46250.0,44650.0,46050.0,40540.08203125,13184367
2019-02-13,46400.0,46700.0,46000.0,46200.0,40672.1328125,11299738
2019-02-14,46600.0,47500.0,46150.0,47500.0,41816.59375,17259341
2019-02-15,46750.0,46850.0,45650.0,46050.0,40540.08203125,10554643
2019-02-18,46500.0,46850.0,45850.0,46200.0,40672.1328125,8183728
2019-02-19,45850.0,46150.0,45450.0,45950.0,40452.05078125,6741395
2019-02-20,46750.0,47100.0,46500.0,46900.0,41288.3828125,11506720
2019-02-21,46500.0,47200.0,46200.0,46950.0,41332.40234375,8694009
2019-02-22,46500.0,47150.0,46450.0,47150.0,41508.47265625,6895772
2019-02-25,47400.0,47550.0,47050.0,47350.0,41684.54296875,7484716
2019-02-26,47350.0,47450.0,46500.0,46750.0,41156.33203125,7985547
